ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
GI_38327637-S	1.27e-03	6.31e-04	3.447.709	-109.935	0.1549485	CREB3	cAMP responsive element binding protein 3
GI_15451756-I	1.29e-03	6.37e-04	3.445.244	-110.752	0.2812087	ADRA1A	adrenoceptor alpha 1A
GI_21264557-S	1.29e-03	6.42e-04	-3.443.044	-11.148	-0.1329121	SMAP1	small ArfGAP 1
GI_34147457-S	1.30e-03	6.43e-04	-3.442.764	-111.573	-0.1658039	C5orf30	chromosome 5 open reading frame 30
GI_38569468-S	1.30e-03	6.47e-04	3.440.818	-112.217	0.1409352	FAM160B2	family with sequence similarity 160 member B2
GI_31341870-S	1.30e-03	6.47e-04	3.440.739	-112.243	0.1727651	CRIPAK	cysteine rich PAK1 inhibitor
GI_8051632-S	1.31e-03	6.51e-04	3.439.211	-112.748	0.2828738	RARRES2	retinoic acid receptor responder 2
GI_20336237-A	1.32e-03	6.53e-04	3.438.363	-113.029	0.1613258	PPP1R8	protein phosphatase 1 regulatory subunit 8
GI_27734760-S	1.32e-03	6.54e-04	-3.437.927	-113.173	-0.1191508	NSMCE2	NSE2/MMS21 homolog, SMC5-SMC6 complex SUMO ligase
GI_13435128-S	1.32e-03	6.55e-04	-343.736	-11.336	-0.1357361	ATP13A2	ATPase 13A2
GI_32307127-S	1.32e-03	6.56e-04	3.437.165	-113.425	0.1227927	NCOA6	nuclear receptor coactivator 6
GI_39725686-S	1.32e-03	6.56e-04	3.437.163	-113.425	0.3385058	LDB1	LIM domain binding 1
GI_33300638-S	1.33e-03	6.61e-04	3.434.871	-114.182	0.229321	RHBDD1	rhomboid domain containing 1
GI_20070290-S	1.33e-03	6.62e-04	3.434.488	-114.309	0.1344627	ALKBH4	alkB homolog 4, lysine demethylase
GI_7705430-S	1.33e-03	6.63e-04	-3.433.918	-114.497	-0.1056353	TMA7	translation machinery associated 7 homolog
GI_21314623-S	1.35e-03	6.69e-04	3.431.397	-115.329	0.107615	PGS1	phosphatidylglycerophosphate synthase 1
GI_42794008-S	1.35e-03	6.72e-04	3.430.364	-11.567	0.1084893	DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
GI_33356545-A	1.35e-03	6.73e-04	-3.429.912	-115.819	-0.3790907	PLCB1	phospholipase C beta 1
GI_27477067-S	1.36e-03	6.76e-04	3.428.572	-116.261	0.1924079		
GI_5453564-I	1.36e-03	6.79e-04	3.427.471	-116.624	0.1897867	BAIAP2	BAI1 associated protein 2
GI_37595547-S	1.37e-03	6.81e-04	342.654	-116.931	0.1433769	PLEKHA6	pleckstrin homology domain containing A6
GI_41349444-A	1.39e-03	6.93e-04	3.421.699	-118.525	0.2136605	SOCS5	suppressor of cytokine signaling 5
GI_34335257-S	1.41e-03	7.00e-04	-3.418.796	-11.948	-0.2126061	ATP6V0D1	ATPase H+ transporting V0 subunit d1
GI_27765077-A	1.41e-03	7.03e-04	3.417.465	-119.918	0.3017968	CAPN3	calpain 3
GI_16554576-S	1.41e-03	7.03e-04	-3.417.421	-119.932	-0.1919856	CDC27	cell division cycle 27
GI_30795224-S	1.41e-03	7.04e-04	-3.417.222	-119.997	-0.1695282	CEND1	cell cycle exit and neuronal differentiation 1
GI_40254453-S	1.41e-03	7.04e-04	341.711	-120.034	0.2742143	ATP1B2	ATPase Na+/K+ transporting subunit beta 2
GI_7705474-S	1.43e-03	7.11e-04	-3.414.498	-120.892	-0.1010886	CWC15	CWC15 spliceosome-associated protein
GI_34222197-S	1.43e-03	7.11e-04	-3.414.367	-120.935	-0.1785534	ADO	2-aminoethanethiol dioxygenase
GI_16445028-S	1.43e-03	7.13e-04	-341.369	-121.158	-0.124956	IGSF8	immunoglobulin superfamily member 8
GI_27734688-S	1.43e-03	7.13e-04	3.413.573	-121.196	0.271551		
GI_4506864-S	1.43e-03	7.15e-04	-3.412.892	-12.142	-0.2294982	SDHD	succinate dehydrogenase complex subunit D
GI_31542635-S	1.43e-03	7.15e-04	341.288	-121.424	0.1474298	PUS3	pseudouridylate synthase 3
GI_38683841-S	1.45e-03	7.22e-04	3.410.111	-122.332	0.1502298	CDC26	cell division cycle 26
GI_37549382-S	1.46e-03	7.29e-04	340.734	-123.241	0.1794217	OBSL1	obscurin like 1
GI_32306535-S	1.47e-03	7.34e-04	3.405.523	-123.836	0.187565	MTIF3	mitochondrial translational initiation factor 3
GI_42657442-S	1.47e-03	7.34e-04	-3.405.356	-123.891	-0.1059079	ZBTB24	zinc finger and BTB domain containing 24
GI_19718758-A	1.47e-03	7.35e-04	3.405.091	-123.978	0.2626657	MYOF	myoferlin
GI_42794776-S	1.47e-03	7.35e-04	-3.404.969	-124.018	-0.1042735	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein
GI_42476171-S	1.49e-03	7.43e-04	-3.402.016	-124.985	-0.0985824	NIPA2	non imprinted in Prader-Willi/Angelman syndrome 2
GI_17572803-S	1.49e-03	7.43e-04	3.401.871	-125.032	0.1837633	ASPSCR1	ASPSCR1, UBX domain containing tether for SLC2A4
GI_13236519-S	1.49e-03	7.46e-04	3.401.025	-125.309	0.0889155	PHF23	PHD finger protein 23
GI_42656560-S	1.49e-03	7.46e-04	-3.400.853	-125.365	-0.249421	ZDBF2	zinc finger DBF-type containing 2
GI_37546018-S	1.51e-03	7.55e-04	-3.397.589	-126.433	-0.1529063	CEP170B	centrosomal protein 170B
GI_32698741-S	1.52e-03	7.60e-04	-3.395.613	-127.079	-0.2992217	CACHD1	cache domain containing 1
GI_17402899-S	1.53e-03	7.64e-04	-3.394.113	-127.569	-0.1964298	FUBP1	far upstream element binding protein 1
GI_7706110-S	1.53e-03	7.65e-04	3.393.648	-12.772	0.1605071	CD320	CD320 molecule
GI_28274685-S	1.53e-03	7.66e-04	3.393.223	-127.859	0.1408555	ZFP82	ZFP82 zinc finger protein
GI_19913434-S	1.54e-03	7.72e-04	-3.391.346	-128.472	-0.1462127	ATP6V0B	ATPase H+ transporting V0 subunit b
GI_23308510-S	1.55e-03	7.77e-04	3.389.466	-129.085	0.1513161	ZFP3	ZFP3 zinc finger protein
GI_7657300-S	1.55e-03	7.77e-04	-3.389.365	-129.118	-0.2027854	KLHDC2	kelch domain containing 2
GI_13324681-S	1.55e-03	7.78e-04	3.389.083	-12.921	0.1336262	FAM3A	family with sequence similarity 3 member A
GI_4507130-S	1.55e-03	7.78e-04	-3.389	-129.237	-0.1315709	SNRPF	small nuclear ribonucleoprotein polypeptide F
GI_4507650-S	1.55e-03	7.79e-04	3.388.495	-129.402	0.2251506	TPM4	tropomyosin 4
GI_32967585-A	1.55e-03	7.80e-04	-3.388.408	-12.943	-0.2809926	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha
GI_24475618-S	1.55e-03	7.80e-04	-3.388.358	-129.447	-0.2168818	CD83	CD83 molecule
GI_34222350-S	1.55e-03	7.80e-04	338.828	-129.472	0.2510765	SLC7A5	solute carrier family 7 member 5
GI_21536300-I	1.55e-03	7.80e-04	3.388.267	-129.476	0.2122385	STAT1	signal transducer and activator of transcription 1
GI_29550849-A	1.55e-03	7.81e-04	3.387.889	-129.599	0.1558483	GOLM1	golgi membrane protein 1
GI_22202636-A	1.56e-03	7.85e-04	3.386.502	-130.052	0.1179038	PFDN5	prefoldin subunit 5
GI_21362099-S	1.57e-03	7.87e-04	-3.385.643	-130.332	-0.1976015	ELOVL4	ELOVL fatty acid elongase 4
GI_20127480-S	1.57e-03	7.88e-04	3.385.501	-130.378	0.1779968	EPM2A	epilepsy, progressive myoclonus type 2A, Lafora disease (laforin)
GI_37577171-A	1.57e-03	7.90e-04	3.384.665	-13.065	0.2498809	RNASE4	ribonuclease A family member 4
GI_4758483-S	1.58e-03	7.93e-04	-3.383.672	-130.974	-0.1616948	GSTO1	glutathione S-transferase omega 1
GI_34485721-S	1.58e-03	7.95e-04	-3.382.717	-131.284	-0.2270019	KPNA3	karyopherin subunit alpha 3
GI_21536270-I	1.58e-03	7.96e-04	3.382.454	-13.137	0.4938173	MPZL2	myelin protein zero like 2
GI_32490578-A	1.59e-03	7.99e-04	33.816	-131.648	0.140782	MTMR11	myotubularin related protein 11
GI_10835022-S	1.59e-03	8.00e-04	-338.097	-131.853	-0.2125893	ITPR1	inositol 1,4,5-trisphosphate receptor type 1
GI_41393567-S	1.60e-03	8.04e-04	3.379.611	-132.295	0.1628645	HEBP2	heme binding protein 2
GI_30089951-A	1.60e-03	8.05e-04	-3.379.329	-132.387	-0.1550463	PTPDC1	protein tyrosine phosphatase domain containing 1
GI_34452680-S	1.60e-03	8.06e-04	-337.914	-132.448	-0.1189338	RNF10	ring finger protein 10
GI_34304340-A	1.60e-03	8.07e-04	3.378.512	-132.653	0.2312406	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)
GI_41350328-S	1.61e-03	8.10e-04	3.377.435	-133.003	0.2153831	MFN2	mitofusin 2
GI_42476197-S	1.61e-03	8.11e-04	-3.377.228	-13.307	-0.5177589	CFAP36	cilia and flagella associated protein 36
GI_42660794-S	1.61e-03	8.12e-04	3.376.806	-133.207	0.2744127	C16orf86	chromosome 16 open reading frame 86
GI_26787987-S	1.61e-03	8.14e-04	3.376.036	-133.458	0.3165106	MICB	MHC class I polypeptide-related sequence B
GI_22165429-A	1.61e-03	8.14e-04	-337.602	-133.463	-0.1613028	ANXA11	annexin A11
GI_31377622-S	1.61e-03	8.15e-04	-3.375.957	-133.483	-0.2139294	MYOZ3	myozenin 3
GI_16579884-S	1.61e-03	8.15e-04	3.375.921	-133.495	0.108853	RPL4	ribosomal protein L4
GI_42476174-S	1.62e-03	8.16e-04	-3.375.524	-133.624	-0.2244889	NCOA7	nuclear receptor coactivator 7
GI_38348337-S	1.63e-03	8.21e-04	-3.373.781	-13.419	-0.1512743	GALNT18	polypeptide N-acetylgalactosaminyltransferase 18
GI_19923414-S	1.63e-03	8.22e-04	3.373.215	-134.374	0.3342003	HEYL	hes related family bHLH transcription factor with YRPW motif-like
GI_27544938-S	1.64e-03	8.31e-04	-3.370.342	-135.306	-0.1261727	BRK1	BRICK1, SCAR/WAVE actin nucleating complex subunit
GI_14249557-S	1.65e-03	8.32e-04	-3.370.081	-135.391	-0.2129433	TMEM209	transmembrane protein 209
GI_29029558-I	1.65e-03	8.32e-04	-3.369.883	-135.455	-0.1347156	CSE1L	chromosome segregation 1 like
GI_31377824-S	1.65e-03	8.33e-04	-3.369.611	-135.544	-0.1814036	COQ2	coenzyme Q2, polyprenyltransferase
GI_31377572-S	1.65e-03	8.33e-04	3.369.531	-135.569	0.2233154	DUSP18	dual specificity phosphatase 18
GI_24497582-S	1.65e-03	8.35e-04	3.369.021	-135.735	0.2778076	AKR1C3	aldo-keto reductase family 1, member C3
GI_23618866-S	1.65e-03	8.35e-04	-336.902	-135.735	-0.1228544	SFXN1	sideroflexin 1
GI_28178815-A	1.66e-03	8.41e-04	-3.366.899	-136.423	-0.1078258	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta
GI_6912611-A	1.66e-03	8.41e-04	-3.366.749	-136.471	-0.2817906	SEZ6L2	seizure related 6 homolog like 2
GI_40548371-S	1.66e-03	8.42e-04	-3.366.503	-136.551	-0.119227	TRAPPC12	trafficking protein particle complex 12
GI_38257156-S	1.66e-03	8.43e-04	-3.366.357	-136.599	-0.2033947	OSTF1	osteoclast stimulating factor 1
GI_31377655-S	1.67e-03	8.44e-04	336.574	-136.799	0.1292692	EIF1AD	eukaryotic translation initiation factor 1A domain containing
GI_4885060-S	1.69e-03	8.55e-04	3.362.172	-137.954	0.1425564	AKT1	AKT serine/threonine kinase 1
GI_23308602-S	1.69e-03	8.55e-04	-3.362.137	-137.966	-0.2143717	MYRIP	myosin VIIA and Rab interacting protein
GI_6005783-S	1.69e-03	8.57e-04	-336.149	-138.175	-0.1859937	ECD	ecdysoneless cell cycle regulator
GI_29029553-S	1.69e-03	8.59e-04	-3.360.847	-138.383	-0.1363473	BBS1	Bardet-Biedl syndrome 1
GI_37540742-S	1.70e-03	8.60e-04	3.360.609	-13.846	0.135932	NCAPD3	non-SMC condensin II complex subunit D3
GI_27436892-I	1.70e-03	8.64e-04	3.359.075	-138.956	0.150711	TAPBP	TAP binding protein (tapasin)
GI_34147419-S	1.71e-03	8.68e-04	-3.357.818	-139.363	-0.1967108	ACBD6	acyl-CoA binding domain containing 6
GI_4505020-S	1.71e-03	8.70e-04	-335.735	-139.514	-0.1411299	LRPAP1	LDL receptor related protein associated protein 1
GI_21450766-S	1.72e-03	8.72e-04	-3.356.588	-13.976	-0.1242046	C6orf136	chromosome 6 open reading frame 136
GI_24308254-S	1.73e-03	8.78e-04	-3.354.751	-140.354	-0.1857013	ZNF529	zinc finger protein 529
GI_41327758-S	1.73e-03	8.80e-04	-3.353.898	-140.629	-0.0908526	ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
GI_34328936-S	1.73e-03	8.81e-04	335.372	-140.687	0.1953824	CD63	CD63 molecule
GI_13375806-S	1.75e-03	8.90e-04	-3.350.772	-141.639	-0.2308244	BEND5	BEN domain containing 5
GI_4507432-S	1.75e-03	8.90e-04	3.350.619	-141.688	0.1603756	TMBIM6	transmembrane BAX inhibitor motif containing 6
GI_32171174-S	1.76e-03	8.96e-04	3.348.933	-142.232	0.1026461	BUD31	BUD31 homolog
GI_34878696-A	1.76e-03	8.97e-04	-3.348.452	-142.387	-0.142405		
GI_13994241-S	1.77e-03	8.99e-04	-3.347.843	-142.583	-0.1832406	SH3KBP1	SH3 domain containing kinase binding protein 1
GI_4557466-S	1.77e-03	9.00e-04	-3.347.667	-14.264	-0.2159728	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit
GI_42476029-S	1.77e-03	9.00e-04	-3.347.518	-142.688	-0.1226633	OGFOD1	2-oxoglutarate and iron dependent oxygenase domain containing 1
GI_28872804-A	1.77e-03	9.03e-04	3.346.639	-142.971	0.2546975	CBFA2T3	CBFA2/RUNX1 translocation partner 3
GI_31542979-S	1.78e-03	9.05e-04	3.345.865	-143.221	0.3061831	IFIT3	interferon induced protein with tetratricopeptide repeats 3
GI_29789113-S	1.79e-03	9.11e-04	3.344.013	-143.817	0.1006535	TBC1D14	TBC1 domain family member 14
GI_14150040-S	1.79e-03	9.13e-04	334.334	-144.034	0.1818335	HAGHL	hydroxyacylglutathione hydrolase-like
GI_7705380-S	1.80e-03	9.14e-04	3.343.061	-144.124	0.0836696	UBAC1	UBA domain containing 1
GI_7661925-S	1.80e-03	9.15e-04	3.342.879	-144.182	0.1419801	SERTAD2	SERTA domain containing 2
GI_34013589-S	1.80e-03	9.15e-04	3.342.784	-144.213	0.203037	ARHGAP22	Rho GTPase activating protein 22
GI_16950654-S	1.80e-03	9.17e-04	3.342.133	-144.423	0.2729683	CCND1	cyclin D1
GI_33469146-I	1.80e-03	9.20e-04	-334.134	-144.678	-0.1320449	SLC35E2B	solute carrier family 35 member E2B
GI_24308026-S	1.81e-03	9.22e-04	3.340.652	-144.899	0.1906323		
GI_13236586-S	1.81e-03	9.25e-04	3.339.804	-145.172	0.1145485	TMEM43	transmembrane protein 43
GI_42662498-S	1.82e-03	9.27e-04	3.338.958	-145.444	0.2628155		
GI_4503592-S	1.83e-03	9.34e-04	-3.337.104	-14.604	-0.239966	EPS15	epidermal growth factor receptor pathway substrate 15
GI_37537720-S	1.84e-03	9.39e-04	-333.536	-146.601	-0.1597366	B3GALT6	beta-1,3-galactosyltransferase 6
GI_14211844-S	1.85e-03	9.42e-04	-3.334.541	-146.864	-0.1583785	IMMP2L	inner mitochondrial membrane peptidase subunit 2
GI_21362103-S	1.85e-03	9.43e-04	-3.334.251	-146.957	-0.1665587	TXNDC17	thioredoxin domain containing 17
GI_13435358-S	1.85e-03	9.45e-04	-3.333.742	-14.712	-0.1231095	DDB1	damage specific DNA binding protein 1
GI_11496985-S	1.85e-03	9.45e-04	3.333.634	-147.155	0.3939675	CD93	CD93 molecule
GI_38230497-S	1.86e-03	9.52e-04	-3.331.556	-147.822	-0.4007675	SACS	sacsin molecular chaperone
GI_27754201-S	1.86e-03	9.52e-04	3.331.467	-147.851	0.2499891		
GI_21389336-S	1.86e-03	9.53e-04	3.331.167	-147.947	0.1654049	RPIA	ribose 5-phosphate isomerase A
GI_16904380-S	1.87e-03	9.58e-04	3.329.619	-148.444	0.1400922	LRBA	LPS responsive beige-like anchor protein
GI_7657177-S	1.89e-03	9.65e-04	332.755	-149.107	0.2110434	TMEM5	transmembrane protein 5
GI_17017985-S	1.89e-03	9.66e-04	-3.327.208	-149.217	-0.0934841	COX4I1	cytochrome c oxidase subunit 4I1
GI_37541715-S	1.89e-03	9.69e-04	3.326.501	-149.443	0.30625	OR2AG2	olfactory receptor family 2 subfamily AG member 2
GI_37551901-S	1.90e-03	9.71e-04	3.325.899	-149.636	0.247284		
GI_23397428-S	1.90e-03	9.74e-04	-3.324.864	-149.968	-0.2194757	EIF3M	eukaryotic translation initiation factor 3 subunit M
GI_15431308-S	1.90e-03	9.75e-04	3.324.554	-150.067	0.094109	RPS7	ribosomal protein S7
GI_45439340-S	1.91e-03	9.77e-04	-3.324.066	-150.224	-0.1762419	PPOX	protoporphyrinogen oxidase
GI_42717993-A	1.92e-03	9.82e-04	3.322.449	-150.741	0.3110938	DTNA	dystrobrevin alpha
GI_8923562-S	1.92e-03	9.84e-04	-3.321.938	-150.905	-0.290364	TESC	tescalcin
GI_4757879-S	1.92e-03	9.85e-04	3.321.796	-15.095	0.1014927	BUB3	BUB3, mitotic checkpoint protein
GI_27735068-S	1.93e-03	9.88e-04	-3.320.828	-15.126	-0.1952844	RIMKLA	ribosomal modification protein rimK like family member A
GI_21361242-S	1.94e-03	9.95e-04	3.318.878	-151.884	0.1412627	HSPA5	heat shock protein family A (Hsp70) member 5
GI_31543647-S	1.94e-03	9.97e-04	3.318.298	-152.069	0.1917898	SNRNP70	small nuclear ribonucleoprotein U1 subunit 70
GI_14110394-S	1.95e-03	9.99e-04	3.317.506	-152.322	0.1620746	XBP1	X-box binding protein 1
GI_11024703-S	1.95e-03	1.00e-03	3.316.872	-152.525	0.1766416	TRMT13	tRNA methyltransferase 13 homolog
GI_22538462-S	1.95e-03	1.00e-03	-331.643	-152.666	-0.0920636	PSMB1	proteasome subunit beta 1
GI_7705482-S	1.96e-03	1.00e-03	3.316.215	-152.735	0.0986381	RTFDC1	replication termination factor 2 domain containing 1
GI_36951095-S	1.96e-03	1.01e-03	331.539	-152.999	0.3497325	FPR1	formyl peptide receptor 1
GI_12383063-S	1.96e-03	1.01e-03	-3.314.997	-153.124	-0.129382	FNDC4	fibronectin type III domain containing 4
GI_6598321-S	1.97e-03	1.01e-03	3.313.335	-153.655	0.1653967	FXR2	FMR1 autosomal homolog 2
GI_4503420-S	1.99e-03	1.02e-03	3.310.403	-154.591	0.2269958	DUSP9	dual specificity phosphatase 9
GI_40255256-S	2.00e-03	1.03e-03	330.984	-15.477	0.2403848	FAM101A	family with sequence similarity 101 member A
GI_11056017-S	2.00e-03	1.03e-03	-3.309.505	-154.877	-0.1419402	C12orf10	chromosome 12 open reading frame 10
GI_4505120-S	2.00e-03	1.03e-03	-3.308.788	-155.106	-0.1174856	MBD4	methyl-CpG binding domain 4, DNA glycosylase
GI_18105041-A	2.01e-03	1.03e-03	330.839	-155.233	0.2506915	GAB2	GRB2 associated binding protein 2
GI_4507982-S	2.01e-03	1.03e-03	3.307.953	-155.372	0.1878974	ZNF134	zinc finger protein 134
GI_29747360-S	2.01e-03	1.03e-03	-3.307.473	-155.525	-0.5354257		
GI_21327700-A	2.02e-03	1.04e-03	3.306.676	-155.779	0.1347335	TAF15	TATA-box binding protein associated factor 15
GI_14249635-S	2.02e-03	1.04e-03	-3.306.657	-155.785	-0.3367843	TOX2	TOX high mobility group box family member 2
GI_38683796-S	2.02e-03	1.04e-03	3.306.278	-155.906	0.1297707	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A
GI_4557384-S	2.02e-03	1.04e-03	3.306.211	-155.927	0.342255	C3	complement component 3
GI_44890067-S	2.02e-03	1.04e-03	-3.305.867	-156.037	-0.1801312	ZMYM4	zinc finger MYM-type containing 4
GI_22749376-S	2.02e-03	1.04e-03	330.573	-15.608	0.1838676	DNAJC18	DnaJ heat shock protein family (Hsp40) member C18
GI_21264358-I	2.02e-03	1.04e-03	330.524	-156.236	0.264366	MASP1	mannan binding lectin serine peptidase 1
GI_26787974-S	2.02e-03	1.04e-03	3.305.058	-156.294	0.3522946	HSPA1B	heat shock protein family A (Hsp70) member 1B
GI_8923856-S	2.04e-03	1.05e-03	-3.303	-15.695	-0.1003239	EMC3	ER membrane protein complex subunit 3
GI_31542542-S	2.04e-03	1.05e-03	-3.302.493	-157.111	-0.1969495	DNER	delta/notch like EGF repeat containing
GI_34222267-S	2.04e-03	1.05e-03	-330.245	-157.125	-0.1346295	FBXO27	F-box protein 27
GI_21040274-S	2.04e-03	1.05e-03	-3.302.092	-157.239	-0.1166539	ALKBH3	alkB homolog 3, alpha-ketoglutaratedependent dioxygenase
GI_4507362-S	2.04e-03	1.06e-03	3.301.873	-157.309	0.2685464	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor
GI_29553969-A	2.04e-03	1.06e-03	3.301.834	-157.321	0.2143346	H2AFJ	H2A histone family member J
GI_34106705-S	2.05e-03	1.06e-03	-3.301.537	-157.415	-0.2443704	GPC5	glypican 5
GI_34335241-S	2.06e-03	1.06e-03	3.299.758	-157.981	0.2406428	MAPKAPK3	mitogen-activated protein kinase-activated protein kinase 3
GI_37540573-S	2.06e-03	1.06e-03	3.299.612	-158.028	0.223867		
GI_10047133-A	2.06e-03	1.06e-03	-3.299.359	-158.108	-0.2456259	ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B
GI_16117792-S	2.06e-03	1.07e-03	3.298.971	-158.232	0.1463948	RPL35	ribosomal protein L35
GI_24430214-S	2.07e-03	1.07e-03	3.297.761	-158.616	0.1767847	IL10RB	interleukin 10 receptor subunit beta
GI_29543553-I	2.08e-03	1.08e-03	-3.296.017	-159.171	-0.1371388	TRIM9	tripartite motif containing 9
GI_18087856-S	2.09e-03	1.08e-03	3.295.162	-159.442	0.1049774	UBE2F	ubiquitin conjugating enzyme E2 F (putative)
GI_11968046-S	2.09e-03	1.08e-03	-3.294.676	-159.596	-0.1243743	POLR1E	RNA polymerase I subunit E
GI_21361656-S	2.11e-03	1.09e-03	3.292.076	-160.422	0.2412135	PDIA3	protein disulfide isomerase family A member 3
GI_34222091-S	2.12e-03	1.09e-03	3.291.274	-160.677	0.1846993	IFIT2	interferon induced protein with tetratricopeptide repeats 2
GI_13899296-S	2.12e-03	1.10e-03	3.290.673	-160.867	0.2841912	PARP9	poly(ADP-ribose) polymerase family member 9
GI_31317300-S	2.17e-03	1.12e-03	3.283.711	-163.073	0.1983063	NOS1AP	nitric oxide synthase 1 adaptor protein
GI_31652223-A	2.17e-03	1.12e-03	-3.283.521	-163.133	-0.1307858		
GI_14574571-S	2.18e-03	1.13e-03	-3.282.311	-163.517	-0.2326711	BCL2L2	BCL2 like 2
GI_24475725-S	2.19e-03	1.13e-03	-3.281.166	-163.879	-0.1224139	TMEM60	transmembrane protein 60
GI_29244922-S	2.21e-03	1.15e-03	327.768	-164.981	0.1941262	TRMT6	tRNA methyltransferase 6
GI_38149980-A	2.21e-03	1.15e-03	-3.277.509	-165.035	-0.2522788	SNRPB2	small nuclear ribonucleoprotein polypeptide B2
GI_24850114-I	2.23e-03	1.16e-03	-3.275.193	-165.767	-0.1314771	SIAE	sialic acid acetylesterase
GI_13899304-S	2.24e-03	1.16e-03	-327.463	-165.945	-0.1448944	CD99L2	CD99 molecule like 2
GI_42657308-S	2.24e-03	1.16e-03	3.274.599	-165.954	0.2250161	ELOVL7	ELOVL fatty acid elongase 7
GI_4502630-S	2.24e-03	1.16e-03	3.273.751	-166.222	0.400291	CCR1	C-C motif chemokine receptor 1
GI_4505988-S	2.24e-03	1.16e-03	3.273.734	-166.227	0.1042012	CTSA	cathepsin A
GI_34452716-A	2.24e-03	1.16e-03	327.368	-166.245	0.2977848	CDC42EP1	CDC42 effector protein 1
GI_5453637-S	2.24e-03	1.17e-03	3.273.101	-166.427	0.1920864	ARID3B	AT-rich interaction domain 3B
GI_4826689-S	2.25e-03	1.17e-03	3.272.611	-166.582	0.1370862	DHX8	DEAH-box helicase 8
GI_24308431-S	2.26e-03	1.17e-03	3.271.557	-166.915	0.1291965	TTC5	tetratricopeptide repeat domain 5
GI_41327761-S	2.26e-03	1.17e-03	3.270.786	-167.158	0.3312681	ABCA8	ATP binding cassette subfamily A member 8
GI_39725693-S	2.26e-03	1.18e-03	3.270.591	-167.219	0.1074062	BIN3	bridging integrator 3
GI_4505808-S	2.28e-03	1.19e-03	3.268.027	-168.028	0.1189561	PI4KB	phosphatidylinositol 4-kinase beta
GI_15011899-A	2.28e-03	1.19e-03	-3.267.575	-16.817	-0.2982032		
GI_7657430-S	2.29e-03	1.19e-03	-3.267.133	-168.309	-0.0925267	SND1	staphylococcal nuclease and tudor domain containing 1
GI_30089953-S	2.29e-03	1.19e-03	3.266.873	-168.391	0.1408021	DCAF8	DDB1 and CUL4 associated factor 8
GI_14790142-S	2.29e-03	1.19e-03	3.266.679	-168.452	0.1230128	RPS23	ribosomal protein S23
GI_30026033-S	2.29e-03	1.19e-03	3.266.314	-168.567	0.1883909	SLC35B2	solute carrier family 35 member B2
GI_7019466-S	2.29e-03	1.19e-03	3.266.177	-168.611	0.1108387	CNOT4	CCR4-NOT transcription complex subunit 4
GI_35493905-S	2.29e-03	1.19e-03	3.266.016	-168.661	0.2677062	RIN2	Ras and Rab interactor 2
GI_7661537-S	2.29e-03	1.19e-03	326.596	-168.679	0.1235443	BRI3	brain protein I3
GI_37541551-S	2.29e-03	1.20e-03	3.265.734	-16.875	0.1343862		
GI_28416401-A	2.30e-03	1.20e-03	3.264.623	-1.691	0.1905635	TJP1	tight junction protein 1
GI_18641359-A	2.32e-03	1.21e-03	3.262.365	-169.811	0.2846672	COLEC12	collectin subfamily member 12
GI_33359689-S	2.33e-03	1.21e-03	-326.134	-170.133	-0.1256179	EFNB2	ephrin B2
GI_45331203-S	2.33e-03	1.21e-03	3.261.165	-170.188	0.1874768	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
GI_41281529-S	2.33e-03	1.22e-03	-326.081	-1.703	-0.1577498	FAM20B	family with sequence similarity 20 member B
GI_17402901-S	2.34e-03	1.22e-03	-3.260.042	-170.541	-0.1370385	GNB1L	G protein subunit beta 1 like
